pair,entry_time,exit_time,entry_price,exit_price,peak_price,structure_high,pnl,pnl_pct,bars_to_exit,peak_capture,exit_reason
ONBOARD_8o6xnJsY,2026-06-30 01:30:00+00:00,2026-06-30 01:45:00+00:00,0.00014797,0.00025024,0.00030241,0.00020024,0.00010228,69.1202,15,66.22,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-30 03:37:00+00:00,2026-06-30 03:38:00+00:00,0.00012228,0.00011316,0.00012399,0.00011883,-9.13e-06,-7.4634,1,-100.0,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-30 03:39:00+00:00,2026-06-30 03:43:00+00:00,0.00011429,0.00011907,0.00011907,0.00011883,4.78e-06,4.1825,4,100.0,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-30 06:16:00+00:00,2026-06-30 06:18:00+00:00,8.445e-05,8.758e-05,8.968e-05,8.986e-05,3.14e-06,3.7139,2,59.96,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-30 06:19:00+00:00,2026-06-30 06:20:00+00:00,8.726e-05,8.46e-05,8.758e-05,8.986e-05,-2.66e-06,-3.0473,1,0.0,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-30 06:21:00+00:00,2026-06-30 06:22:00+00:00,9.297e-05,9.081e-05,9.297e-05,8.986e-05,-2.15e-06,-2.3164,1,0.0,case1_divergence_fulfilled
ONBOARD_8o6xnJsY,2026-06-30 06:37:00+00:00,2026-06-30 06:44:00+00:00,8.199e-05,7.991e-05,8.311e-05,9.297e-05,-2.08e-06,-2.5338,6,-100.0,case3_bearish_volume
ONBOARD_8o6xnJsY,2026-06-30 06:45:00+00:00,2026-06-30 06:49:00+00:00,8.037e-05,9.307e-05,9.307e-05,9.297e-05,1.27e-05,15.8064,4,100.0,case1_divergence_fulfilled
PEPEME_7nQnT9eV,2026-06-30 00:07:00+00:00,2026-06-30 00:34:00+00:00,3.06e-06,3.34e-06,3.38e-06,3.33e-06,2.9e-07,9.3915,27,90.39,case1_divergence_fulfilled
PEPEME_7nQnT9eV,2026-06-30 03:31:00+00:00,2026-06-30 03:32:00+00:00,4.38e-06,4.36e-06,4.39e-06,4.36e-06,-2e-08,-0.3559,1,0.0,case1_divergence_fulfilled
PEPEME_7nQnT9eV,2026-06-30 03:33:00+00:00,2026-06-30 03:42:00+00:00,4.35e-06,4.37e-06,4.37e-06,4.36e-06,2e-08,0.416,9,75.87,case1_divergence_fulfilled
PEPEME_7nQnT9eV,2026-06-30 06:15:00+00:00,2026-06-30 06:29:00+00:00,4.42e-06,4.46e-06,4.46e-06,4.46e-06,4e-08,1.0101,14,98.44,case1_divergence_fulfilled
PEPEME_7nQnT9eV,2026-06-30 06:36:00+00:00,2026-06-30 06:45:00+00:00,4.46e-06,4.45e-06,4.46e-06,4.46e-06,-1e-08,-0.1298,9,0.0,end_of_data
Pompliano_CyTMmm81,2026-06-29 23:19:00+00:00,2026-06-29 23:24:00+00:00,0.00013959,0.00014627,0.00014661,0.00014597,6.68e-06,4.7864,5,95.1,case1_divergence_fulfilled
Pompliano_CyTMmm81,2026-06-30 01:00:00+00:00,2026-06-30 01:11:00+00:00,0.00018706,0.00020326,0.00020818,0.00019256,1.62e-05,8.6612,11,76.72,case1_divergence_fulfilled
Pompliano_CyTMmm81,2026-06-30 01:12:00+00:00,2026-06-30 01:13:00+00:00,0.00021667,0.0002242,0.00022574,0.00018706,7.52e-06,3.4711,1,82.97,case1_divergence_fulfilled
Pompliano_CyTMmm81,2026-06-30 01:14:00+00:00,2026-06-30 01:15:00+00:00,0.00022455,0.00021872,0.00022895,0.00018706,-5.83e-06,-2.5951,1,-100.0,case1_divergence_fulfilled
Pompliano_CyTMmm81,2026-06-30 01:16:00+00:00,2026-06-30 01:17:00+00:00,0.00021055,0.00020679,0.00021935,0.00018706,-3.77e-06,-1.7903,1,-42.87,case1_divergence_fulfilled
