ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,peak_capture,vpin_at_entry,exit_reason,status
AIRE,2026-04-27 19:45:00+00:00,,6.660000324249268,4.619999885559082,6.742499828338623,-2.0400004386901855,-30.63063572628489,-2472.742668223381,0.8359449850075478,momentum_reversal,completed
BIYA,2026-04-27 19:45:00+00:00,,0.7570000290870667,1.5700000524520874,2.380000114440918,0.8130000233650208,107.39762115273489,50.09242024702469,0.6271159508065356,momentum_reversal,completed
CHSN,2026-04-27 19:45:00+00:00,,5.299999713897705,3.869999885559082,5.600000381469727,-1.429999828338623,-26.981130293061433,-476.6655487509278,0.4414363780716203,momentum_reversal,completed
BBGI,2026-04-28 19:45:00+00:00,,22.540000915527344,21.25,24.989999771118164,-1.2900009155273438,-5.723162658075531,-52.65312318753138,0.6345203858946555,momentum_reversal,completed
ACXP,2026-04-28 19:45:00+00:00,,2.049999952316284,1.9950000047683716,2.2999000549316406,-0.0549999475479126,-2.68292433303564,-22.008773494810416,0.6015197415985425,momentum_divergence,completed
APWC,2026-04-28 19:45:00+00:00,,1.5800000429153442,,,,,,0.27272745334722176,,low_vpin
CHSN,2026-04-28 19:45:00+00:00,,3.819999933242798,3.1700000762939453,4.0,-0.6499998569488525,-17.01570335884974,-361.11089771184476,0.4924988618718529,momentum_reversal,completed
BELFA,2026-04-29 18:00:00+00:00,,227.5,230.05999755859375,276.2049865722656,2.55999755859375,1.125273652129121,5.256130303609416,0.4590322898208309,momentum_divergence,completed
BKTI,2026-04-29 19:45:00+00:00,,91.22000122070312,92.55000305175781,97.80999755859375,1.3300018310546875,1.4580155812942839,20.182133082647574,0.4,volume_divergence,completed
CHSN,2026-04-29 19:45:00+00:00,,3.2900002002716064,2.820000171661377,3.3500001430511475,-0.4700000286102295,-14.285714285714285,-783.3341280626883,0.5184292835441733,momentum_reversal,completed
BIYA,2026-04-29 19:45:00+00:00,,1.8849999904632568,2.130000114440918,2.380000114440918,0.24500012397766113,12.997354122927607,49.49496214443731,0.4842237043037529,momentum_reversal,completed
CABO,2026-04-29 19:45:00+00:00,,90.06999969482422,94.15989685058594,95.55999755859375,4.089897155761719,4.540798456333003,74.49724493979168,0.5741376788215244,volume_divergence,completed
ALGS,2026-04-30 16:30:00+00:00,,6.050000190734863,6.079999923706055,6.849999904632568,0.029999732971191406,0.495863339262928,3.7499679624919757,0.5853041047928372,volume_divergence,completed
AHMA,2026-04-30 16:45:00+00:00,,1.1309000253677368,1.1349999904632568,5.400000095367432,0.0040999650955200195,0.3625400126935912,0.09603815858831138,0.6543107171145264,momentum_reversal,completed
CABO,2026-04-30 16:45:00+00:00,,92.63999938964844,92.58499908447266,95.55999755859375,-0.05500030517578125,-0.059369932575719514,-1.8835732761999322,0.4139922524733041,volume_divergence,completed
AHMA,2026-04-30 16:45:00+00:00,,1.1309000253677368,1.1349999904632568,5.400000095367432,0.0040999650955200195,0.3625400126935912,0.09603815858831138,0.6543107171145264,momentum_reversal,completed
BIYA,2026-04-30 16:45:00+00:00,,2.0,,,,,,0.3580614167497187,,low_vpin
CLWT,2026-05-01 14:45:00+00:00,,1.2000000476837158,,,,,,0.25,,low_vpin
BESS,2026-04-30 19:45:00+00:00,,2.509999990463257,2.5999999046325684,6.199999809265137,0.08999991416931152,3.585653964592276,2.439022183977612,0.5558822828179981,volume_divergence,completed
