ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,signal_valid,hmm_fit_success,exit_reason,status
CIIT,2026-04-27 15:00:00+00:00,,1.440000057220459,1.440000057220459,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CHR,2026-04-27 14:30:00+00:00,,1.659999966621399,1.659999966621399,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BKTI,2026-04-27 14:30:00+00:00,,94.52999877929688,94.52999877929688,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AHMA,2026-03-18 06:00:00,,,,,,,,,False,False,,no_previous_day
BNZI,2026-03-18 08:31:00,,,,,,,,,False,False,,no_previous_day
AZI,2026-04-27 14:30:00+00:00,,1.3600000143051147,1.3600000143051147,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BARK,2026-03-20 08:55:00,,,,,,,,,False,False,,no_previous_day
CHR,2026-03-23 08:00:00,,,,,,,,,False,False,,no_previous_day
BTBD,2026-03-24 07:00:00,,,,,,,,,False,False,,no_previous_day
BTBD,2026-04-27 14:30:00+00:00,,1.809999942779541,1.809999942779541,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BNRG,2026-04-27 14:45:00+00:00,,3.0450000762939453,3.0450000762939453,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BLRX,2026-03-25 21:01:00,,,,,,,,,False,False,,no_previous_day
ARTL,2026-03-27 10:30:00,,,,,,,,,False,False,,no_previous_day
ARTL,2026-03-27 10:40:00,,,,,,,,,False,False,,no_previous_day
AZI,2026-03-29 10:00:00,,,,,,,,,False,False,,no_previous_day
AMBO,2026-03-30 08:30:00,,,,,,,,,False,False,,no_previous_day
BGMS,2026-04-27 14:30:00+00:00,,0.9950000047683716,0.9950000047683716,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
ARTL,2026-04-27 14:30:00+00:00,,4.010000228881836,4.010000228881836,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
ANNA,2026-04-27 14:30:00+00:00,,3.809999942779541,3.809999942779541,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BNZI,2026-04-27 14:30:00+00:00,,9.055999755859375,9.055999755859375,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BKTI,2026-04-27 14:30:00+00:00,,94.52999877929688,94.52999877929688,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BCG,2026-04-27 14:30:00+00:00,,1.9199999570846558,1.9199999570846558,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AXIL,2026-04-01 08:00:00,,,,,,,,,False,False,,no_previous_day
AQMS,2026-04-01 08:30:00,,,,,,,,,False,False,,no_previous_day
