Symbol,SignalTimestamp,Close,Volume,RVOL,30m_pct,1h_pct,2h_pct,4h_pct,1d_pct
ERNA,2026-05-12 09:50:00-04:00,10.06,247624,13.57,24.45,37.28,37.28,15.11,20.87
ERNA,2026-05-12 10:20:00-04:00,13.9,1688364,12.38,-1.6,-9.57,-5.47,-19.93,-12.52
ERNA,2026-05-15 12:50:00-04:00,13.43,91100,8.45,-4.47,0.52,1.49,-3.2,-9.08
EVI,2026-06-09 09:35:00-04:00,17.0,6772,5.07,0.35,-0.29,1.47,3.53,2.65
EZGO,2026-05-04 10:15:00-04:00,241.5,14373,8.04,-9.32,-13.04,-21.75,-18.63,18.01
EZGO,2026-06-09 12:30:00-04:00,1.72,160304,7.82,19.81,-13.43,-0.29,-4.36,-5.81
EZGO,2026-06-30 09:40:00-04:00,1.4402,25973,9.09,-3.49,-2.79,-6.96,-11.47,-10.43
EZGO,2026-07-22 11:35:00-04:00,1.14,213501,38.89,-5.23,-3.22,-7.89,-7.02,-7.89
FCHL,2026-06-03 10:10:00-04:00,1.4673,76909,10.14,-1.18,-2.54,-6.29,-10.72,-7.99
FCHL,2026-06-08 13:00:00-04:00,1.3899,241349,28.13,-25.17,-24.45,-23.02,-12.22,-10.07
FCHL,2026-06-12 10:10:00-04:00,1.55,26457,7.39,-9.17,-6.13,-6.45,0.26,-8.39
FCHL,2026-07-06 11:20:00-04:00,1.2997,336261,13.59,-0.75,4.64,6.95,5.41,3.87
FCUV,2026-05-14 13:50:00-04:00,6.8888,2293199,24.42,-27.13,-36.93,-62.25,-48.9,-51.81
FCUV,2026-06-08 15:10:00-04:00,3.7148,150953,15.51,-26.09,-18.62,-7.4,-17.37,-11.63
FCUV,2026-06-23 10:05:00-04:00,4.7599,6072791,31.51,-12.41,11.14,11.13,-13.45,-6.93
FCUV,2026-07-01 15:30:00-04:00,4.2785,40556,7.82,-10.84,-8.85,-16.09,-18.73,-19.61
FFAI,2026-04-30 09:40:00-04:00,60.75,1383957,7.54,-0.1,-1.51,-1.23,5.56,0.02
FFAI,2026-05-29 09:40:00-04:00,50.145,1049334,7.32,0.39,-1.5,1.88,1.44,21.54
FFAI,2026-05-29 14:50:00-04:00,55.305,1398136,5.01,3.23,2.12,15.41,5.97,10.2
FFAI,2026-06-17 09:30:00-04:00,50.01,1105963,9.85,0.27,-4.89,-10.11,-8.58,-13.8
FGL,2026-07-15 10:10:00-04:00,1.5,253205,9.1,-15.0,-17.33,-16.67,-18.6,-37.34
FGL,2026-07-17 14:50:00-04:00,1.0,39176,6.96,-3.99,2.0,5.08,-2.49,0.0
FLYE,2026-06-15 09:30:00-04:00,2.1,13434,8.13,18.57,15.24,15.71,13.33,4.33
FOFO,2026-05-14 09:40:00-04:00,2.64,26648,11.18,-9.09,-7.58,-10.23,-6.82,-10.98
FOFO,2026-06-01 15:30:00-04:00,4.5,552744,7.9,-23.22,-34.0,-20.67,-11.11,-10.0
FRMM,2026-05-21 09:30:00-04:00,4.5017,39532,9.67,3.01,1.3,2.52,4.52,0.96
FTFT,2026-06-10 15:15:00-04:00,4.26,110791,13.59,-0.72,-12.88,-6.1,-13.83,-12.61
FTRK,2026-06-05 15:35:00-04:00,0.523,19651,8.89,-18.26,-12.68,-11.91,-10.94,0.25
GBR,2026-06-17 09:50:00-04:00,0.7699,33057,7.89,0.62,-0.64,-2.58,-4.31,-2.07
GBR,2026-06-22 12:45:00-04:00,0.7499,21162,10.95,-2.64,-2.83,-0.99,-3.73,-1.94
GDC,2026-05-06 09:30:00-04:00,1911.25,1130784,71.53,-30.41,-44.54,-46.3,-79.33,-98.04
GELS,2026-06-11 10:45:00-04:00,0.84,1095517,220.52,77.38,110.71,55.93,24.05,15.6
GIPR,2026-07-17 09:40:00-04:00,1.4493,1253022,6.86,-20.09,-20.31,-19.27,-19.96,-25.14
GITS,2026-05-21 15:30:00-04:00,1.7099,66933,10.1,-12.86,-11.98,-15.2,-1.64,6.15
GITS,2026-05-29 14:15:00-04:00,2.24,102455,28.94,0.67,-6.25,-3.57,14.73,11.83
GLXG,2026-07-17 10:55:00-04:00,1.37,1935103,10.12,-12.42,-26.28,-24.45,-23.36,-33.21
GMM,2026-06-08 10:20:00-04:00,5.78,24068381,21.91,-2.08,-7.09,-23.1,-25.35,-7.61
GMM,2026-07-20 13:00:00-04:00,4.235,1425972,5.06,-6.73,-6.49,-4.19,-22.1,-25.62
GOVX,2026-05-01 09:40:00-04:00,1.2699,124159,5.58,16.54,-9.09,-6.29,-8.65,-0.78
GP,2026-07-15 11:20:00-04:00,1.6611,66948,6.5,-1.87,-2.47,-0.37,-5.48,-3.08
GRAN,2026-06-08 12:15:00-04:00,1.34,163806,5.57,-4.35,-2.87,43.28,31.72,9.33
GSUN,2026-07-21 11:00:00-04:00,0.3415,785877,25.79,-10.69,-7.67,4.19,-25.3,-18.86
GSUN,2026-07-24 10:00:00-04:00,0.4561,6724602,21.03,-14.54,-7.85,-27.71,-56.59,
GV,2026-05-08 11:35:00-04:00,0.2337,2745998,10.47,-2.57,-22.76,-29.91,-26.4,-11.51
GV,2026-05-08 15:45:00-04:00,0.1822,217911,5.59,-0.38,2.36,5.93,8.51,13.5
GV,2026-05-18 09:35:00-04:00,0.2469,131054,6.44,-6.76,-6.84,-5.35,2.43,19.6
HAO,2026-06-08 13:15:00-04:00,0.9508,79582,5.1,58.81,45.14,2.02,-3.55,2.66
HAO,2026-06-08 13:55:00-04:00,2.04,645574,7.15,-42.16,-49.51,-51.99,-57.84,-52.15
HAO,2026-07-22 12:15:00-04:00,0.2449,3780955,17.08,-19.31,-24.38,-26.38,-25.6,-28.54
HCAI,2026-05-04 13:55:00-04:00,24.9474,230011,5.38,-11.23,-27.07,-26.97,-31.38,-37.79
HCAI,2026-05-18 12:55:00-04:00,13.82,683587,13.82,-2.13,-3.7,-4.7,-31.04,-28.11
HCTI,2026-07-09 15:45:00-04:00,1.8799,110660,6.47,-1.06,-0.53,-6.38,-5.85,-6.64
HCWB,2026-05-20 09:40:00-04:00,8.6994,2082695,7.9,52.42,140.02,66.56,62.42,79.32
HCWB,2026-05-28 14:45:00-04:00,13.2,118032,5.5,-1.82,-0.68,-3.64,-4.55,-7.73
HIHO,2026-06-08 11:25:00-04:00,0.8539,119991,28.29,6.34,-7.48,-17.43,-19.24,-5.01
HIHO,2026-06-09 10:20:00-04:00,0.9,308225,16.28,16.11,25.56,-12.19,-5.31,-12.58
HIHO,2026-07-21 09:30:00-04:00,1.265,38456390,7324.88,5.15,-9.89,1.58,-5.93,-10.67
HKIT,2026-05-04 14:15:00-04:00,61.65,91462,14.27,-0.22,0.97,-8.75,-11.19,-12.4
HKIT,2026-06-08 13:30:00-04:00,7.6125,996894,18.73,-6.57,0.2,11.63,-12.28,-9.03
HKIT,2026-06-08 15:05:00-04:00,13.3775,18621578,20.11,-42.96,-46.35,-49.67,-43.9,-48.23
HKIT,2026-06-11 11:20:00-04:00,18.0,12957689,9.91,3.69,-13.39,-22.53,-23.08,-30.56
HKIT,2026-06-26 10:20:00-04:00,7.6675,7008367,5.95,-15.23,11.22,-3.52,-4.66,-2.25
HKIT,2026-06-26 15:45:00-04:00,8.08,2521900,5.48,-17.79,-7.18,-2.91,-6.65,-7.24
HKIT,2026-07-15 15:05:00-04:00,4.0,28840,17.4,-0.63,-9.75,-11.51,-10.5,-11.0
HMR,2026-06-10 10:30:00-04:00,1.545,20997,12.68,-0.65,-0.36,-0.32,-4.21,-2.92
HODO,2026-07-14 11:15:00-04:00,1.7199,788629,17.78,-5.76,-13.95,-27.36,-27.61,-41.86
HOUR,2026-05-05 09:30:00-04:00,2.88,499341,24.74,2.44,-2.6,-9.37,-15.63,-21.18
HPAI,2026-06-09 12:25:00-04:00,1.2499,2805674,12.84,-12.79,-14.43,-14.39,-26.39,-27.29
HPAI,2026-07-17 14:15:00-04:00,0.6182,624340,18.03,-11.03,-3.83,-22.19,-22.36,-28.81
HQ,2026-06-02 15:45:00-04:00,13.29,56696,7.47,0.49,-0.11,1.58,2.78,-2.48
HQ,2026-06-15 09:35:00-04:00,13.705,167901,16.42,2.08,4.56,11.57,14.03,37.91
HTCO,2026-06-11 09:30:00-04:00,4.54,60627,20.85,8.81,14.65,19.4,21.15,-13.44
HUBC,2026-06-18 14:05:00-04:00,2.105,243115,8.32,-2.14,-0.67,-13.06,-18.29,-20.67
HUDI,2026-06-08 14:00:00-04:00,1.49,1202857,11.64,-25.84,-43.31,-45.48,-39.03,-44.3
HUDI,2026-07-08 12:00:00-04:00,0.9263,47886,5.07,2.55,-1.22,-9.15,-8.78,-4.74
HXHX,2026-06-04 09:55:00-04:00,0.4188,31150,9.19,0.98,-0.24,-0.93,3.39,3.27
HXHX,2026-06-05 13:40:00-04:00,0.5001,99828,25.34,-8.72,-19.42,-17.04,-19.62,-21.4
HXHX,2026-06-10 13:30:00-04:00,0.8167,2143097,7.14,-2.42,0.91,-1.02,-25.84,-28.17
HXHX,2026-06-17 09:35:00-04:00,0.518,10342,6.53,-1.97,-6.02,-7.47,-15.02,-14.83
IBG,2026-06-12 13:35:00-04:00,1.205,23652,5.96,-2.9,-1.66,1.24,1.2,0.83
