ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,p_burst_sig,pct_return
1INCH/USDT,2026-05-21 10:15:00+00:00,2026-05-21 10:30:00+00:00,0.09195,2026-05-21 11:30:00+00:00,0.09184,time_stop,5,0.4019,-0.1196
FLOKI/USDT,2026-05-21 11:15:00+00:00,2026-05-21 11:30:00+00:00,3.018e-05,2026-05-21 12:30:00+00:00,3.021e-05,time_stop,5,0.4809,0.0994
SNX/USDT,2026-05-21 11:15:00+00:00,2026-05-21 11:30:00+00:00,0.3109,2026-05-21 12:30:00+00:00,0.3117,time_stop,5,0.4059,0.2573
CHZ/USDT,2026-05-21 13:45:00+00:00,2026-05-21 14:00:00+00:00,0.04363,2026-05-21 15:00:00+00:00,0.04366,time_stop,5,0.4195,0.0688
BCH/USDT,2026-05-21 16:15:00+00:00,2026-05-21 16:30:00+00:00,378.5,2026-05-21 17:30:00+00:00,382.1,time_stop,5,0.4035,0.9511
ZIL/USDT,2026-05-21 17:45:00+00:00,2026-05-21 18:00:00+00:00,0.004056,2026-05-21 19:00:00+00:00,0.004046,time_stop,5,0.4866,-0.2465
WIF/USDT,2026-05-21 18:45:00+00:00,2026-05-21 19:00:00+00:00,0.1986,2026-05-21 20:00:00+00:00,0.2005,time_stop,5,0.4605,0.9567
NEAR/USDT,2026-05-22 00:45:00+00:00,2026-05-22 01:00:00+00:00,1.98,2026-05-22 01:00:00+00:00,2.026,event,1,0.4623,2.3232
ETC/USDT,2026-05-22 01:45:00+00:00,2026-05-22 02:00:00+00:00,9.05,2026-05-22 03:00:00+00:00,9.082,time_stop,5,0.4155,0.3536
ENJ/USDT,2026-05-22 09:15:00+00:00,2026-05-22 09:30:00+00:00,0.04373,2026-05-22 10:30:00+00:00,0.04341,time_stop,5,0.4205,-0.7318
SOL/USDT,2026-05-22 14:15:00+00:00,2026-05-22 14:30:00+00:00,86.65,2026-05-22 15:30:00+00:00,86.78,time_stop,5,0.4023,0.15
YFI/USDT,2026-05-22 15:45:00+00:00,2026-05-22 16:00:00+00:00,2509.0,2026-05-22 16:00:00+00:00,2520.0,event,1,0.4276,0.4384
ETH/USDT,2026-05-22 19:15:00+00:00,2026-05-22 19:30:00+00:00,2085.51,2026-05-22 19:30:00+00:00,2065.75,event,1,0.439,-0.9475
GMT/USDT,2026-05-23 08:45:00+00:00,2026-05-23 09:00:00+00:00,0.01262,2026-05-23 09:00:00+00:00,0.013408,event,1,0.4591,6.2441
GALA/USDT,2026-05-23 14:45:00+00:00,2026-05-23 15:00:00+00:00,0.003188,2026-05-23 15:00:00+00:00,0.003209,event,1,0.4737,0.6587
ADA/USDT,2026-05-23 20:45:00+00:00,2026-05-23 21:00:00+00:00,0.25,2026-05-23 22:00:00+00:00,0.2475,time_stop,5,0.4196,-1.0
YFI/USDT,2026-05-23 20:45:00+00:00,2026-05-23 21:00:00+00:00,2530.0,2026-05-23 22:00:00+00:00,2533.0,time_stop,5,0.4554,0.1186
NEAR/USDT,2026-05-23 22:45:00+00:00,2026-05-23 23:00:00+00:00,2.418,2026-05-24 00:00:00+00:00,2.406,time_stop,5,0.4428,-0.4963
BNT/USDT,2026-05-24 14:15:00+00:00,2026-05-24 14:30:00+00:00,0.3346,2026-05-24 15:30:00+00:00,0.3373,time_stop,5,0.4458,0.8069
ZRX/USDT,2026-05-25 04:15:00+00:00,2026-05-25 04:30:00+00:00,0.10411,2026-05-25 05:30:00+00:00,0.10593,time_stop,5,0.47,1.7482
INJ/USDT,2026-05-25 06:15:00+00:00,2026-05-25 06:30:00+00:00,5.175,2026-05-25 07:30:00+00:00,5.252,time_stop,5,0.4818,1.4879
ARB/USDT,2026-05-26 10:15:00+00:00,2026-05-26 10:30:00+00:00,0.11251,2026-05-26 11:30:00+00:00,0.11164,time_stop,5,0.4026,-0.7733
XLM/USDT,2026-05-26 10:15:00+00:00,2026-05-26 10:30:00+00:00,0.15012,2026-05-26 11:30:00+00:00,0.14981,time_stop,5,0.4995,-0.2065
SHIB/USDT,2026-05-26 13:15:00+00:00,2026-05-26 13:30:00+00:00,5.59e-06,2026-05-26 14:30:00+00:00,5.6e-06,event,5,0.4649,0.2147
SHIB/USDT,2026-05-26 13:45:00+00:00,2026-05-26 14:00:00+00:00,5.61e-06,2026-05-26 14:30:00+00:00,5.6e-06,event,3,0.4504,-0.196
BONK/USDT,2026-05-26 14:15:00+00:00,2026-05-26 14:30:00+00:00,6.18e-06,2026-05-26 14:30:00+00:00,6.11e-06,event,1,0.4208,-0.9877
XRP/USDT,2026-05-26 14:45:00+00:00,2026-05-26 15:00:00+00:00,1.3526,2026-05-26 16:00:00+00:00,1.3424,time_stop,5,0.432,-0.7541
KNC/USDT,2026-05-26 15:45:00+00:00,2026-05-26 16:00:00+00:00,0.1465,2026-05-26 17:00:00+00:00,0.145,time_stop,5,0.4475,-1.0239
BTC/USDT,2026-05-26 16:15:00+00:00,2026-05-26 16:30:00+00:00,76543.3,2026-05-26 17:30:00+00:00,75931.4,time_stop,5,0.4636,-0.7994
APT/USDT,2026-05-26 17:15:00+00:00,2026-05-26 17:30:00+00:00,0.968,2026-05-26 18:30:00+00:00,0.9676,time_stop,5,0.4302,-0.0413
BNB/USDT,2026-05-26 17:15:00+00:00,2026-05-26 17:30:00+00:00,655.5,2026-05-26 18:30:00+00:00,655.4,time_stop,5,0.446,-0.0153
XRP/USDT,2026-05-26 18:45:00+00:00,2026-05-26 19:00:00+00:00,1.3302,2026-05-26 20:00:00+00:00,1.3338,time_stop,5,0.4282,0.2706
BLUR/USDT,2026-05-26 21:15:00+00:00,2026-05-26 21:30:00+00:00,0.02195,2026-05-26 22:30:00+00:00,0.02191,time_stop,5,0.4154,-0.1822
ARB/USDT,2026-05-27 12:15:00+00:00,2026-05-27 12:30:00+00:00,0.11032,2026-05-27 13:30:00+00:00,0.10846,time_stop,5,0.4287,-1.686
ALGO/USDT,2026-05-27 14:15:00+00:00,2026-05-27 14:30:00+00:00,0.10715,2026-05-27 15:30:00+00:00,0.10754,time_stop,5,0.4197,0.364
NEAR/USDT,2026-05-27 19:45:00+00:00,2026-05-27 20:00:00+00:00,2.671,2026-05-27 20:00:00+00:00,2.596,event,1,0.4368,-2.8079
MINA/USDT,2026-05-27 21:45:00+00:00,2026-05-27 22:00:00+00:00,0.05638,2026-05-27 23:00:00+00:00,0.0555,time_stop,5,0.4102,-1.5608
XLM/USDT,2026-05-27 23:15:00+00:00,2026-05-27 23:30:00+00:00,0.16055,2026-05-28 00:30:00+00:00,0.17302,time_stop,5,0.4511,7.7671
AXS/USDT,2026-05-28 01:15:00+00:00,2026-05-28 01:30:00+00:00,1.1307,2026-05-28 02:30:00+00:00,1.1273,time_stop,5,0.4627,-0.3007
XLM/USDT,2026-05-28 01:15:00+00:00,2026-05-28 01:30:00+00:00,0.17334,2026-05-28 02:00:00+00:00,0.1783,event,3,0.4689,2.8614
UNI/USDT,2026-05-28 04:15:00+00:00,2026-05-28 04:30:00+00:00,3.029,2026-05-28 05:30:00+00:00,3.043,time_stop,5,0.4953,0.4622
