ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,vol_div,rsi_div,bb_squeeze,exit_reason
1INCH/USDT,2026-06-10 04:10:00+00:00,2026-06-10 05:00:00+00:00,0.0698,0.06946,0.06997,-0.00034,-0.4871,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-06-10 04:35:00+00:00,2026-06-10 05:25:00+00:00,0.06957,0.06955,0.06973,-2e-05,-0.0287,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-06-12 00:45:00+00:00,2026-06-12 01:35:00+00:00,0.07216,0.0716,0.0722,-0.00056,-0.7761,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-06-12 17:15:00+00:00,2026-06-12 18:05:00+00:00,0.07201,0.07163,0.07216,-0.00038,-0.5277,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-06-14 04:20:00+00:00,2026-06-14 05:10:00+00:00,0.07251,0.07203,0.07251,-0.00048,-0.662,10,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-06-17 21:40:00+00:00,2026-06-17 23:45:00+00:00,0.07562,0.07579,0.07587,0.00017,0.2248,25,0.0,True,True,True,bearish_vol_divergence
1INCH/USDT,2026-06-18 17:35:00+00:00,2026-06-18 20:00:00+00:00,0.0727,0.07356,0.0737,0.00086,1.1829,29,86.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-06-27 00:25:00+00:00,2025-06-27 03:30:00+00:00,250.96,255.6,256.55,4.64,1.8489,37,83.01,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-03 16:50:00+00:00,2025-07-03 17:40:00+00:00,278.6,279.37,280.65,0.77,0.2764,10,37.56,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-09 16:10:00+00:00,2025-07-09 17:20:00+00:00,298.26,297.53,299.14,-0.73,-0.2448,14,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-09 16:30:00+00:00,2025-07-09 17:20:00+00:00,298.74,297.53,299.04,-1.21,-0.405,10,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-09 16:55:00+00:00,2025-07-09 18:00:00+00:00,298.26,295.92,298.86,-2.34,-0.7846,13,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-10 20:15:00+00:00,2025-07-10 21:10:00+00:00,305.94,305.73,306.92,-0.21,-0.0686,11,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-11 23:55:00+00:00,2025-07-12 01:55:00+00:00,297.48,299.42,300.47,1.94,0.6521,24,64.88,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-12 00:00:00+00:00,2025-07-12 01:55:00+00:00,297.69,299.42,300.47,1.73,0.5811,23,62.23,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-07-25 07:25:00+00:00,2025-07-25 10:15:00+00:00,285.84,291.3,294.37,5.46,1.9102,34,64.01,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-04 16:15:00+00:00,2025-08-04 17:40:00+00:00,265.8,268.28,271.1,2.48,0.933,17,46.79,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-05 05:20:00+00:00,2025-08-05 06:35:00+00:00,260.98,261.9,262.6,0.92,0.3525,15,56.79,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-06 03:05:00+00:00,2025-08-06 06:10:00+00:00,252.92,256.75,258.89,3.83,1.5143,37,64.15,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-07 03:50:00+00:00,2025-08-07 04:40:00+00:00,263.5,263.35,264.54,-0.15,-0.0569,10,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-07 04:00:00+00:00,2025-08-07 04:50:00+00:00,263.47,262.65,264.54,-0.82,-0.3112,10,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-08 02:35:00+00:00,2025-08-08 03:30:00+00:00,282.15,282.9,285.27,0.75,0.2658,11,24.04,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-08 10:50:00+00:00,2025-08-08 12:15:00+00:00,281.44,282.3,283.6,0.86,0.3056,17,39.81,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-11 07:05:00+00:00,2025-08-11 07:55:00+00:00,307.7,305.32,308.58,-2.38,-0.7735,10,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-11 07:25:00+00:00,2025-08-11 08:15:00+00:00,306.72,306.63,307.2,-0.09,-0.0293,10,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-16 02:40:00+00:00,2025-08-16 03:30:00+00:00,301.26,300.55,301.79,-0.71,-0.2357,10,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-16 11:40:00+00:00,2025-08-16 13:40:00+00:00,291.94,291.67,294.3,-0.27,-0.0925,24,-11.44,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-21 11:20:00+00:00,2025-08-21 12:25:00+00:00,300.72,299.4,301.94,-1.32,-0.4389,13,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-24 23:50:00+00:00,2025-08-25 01:10:00+00:00,348.07,347.62,350.65,-0.45,-0.1293,16,-17.44,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-25 22:15:00+00:00,2025-08-25 23:05:00+00:00,310.81,314.94,316.92,4.13,1.3288,10,67.59,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-26 09:55:00+00:00,2025-08-26 11:00:00+00:00,329.34,331.97,334.07,2.63,0.7986,13,55.6,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-28 11:35:00+00:00,2025-08-28 13:05:00+00:00,319.82,319.34,321.48,-0.48,-0.1501,18,-28.92,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-28 16:05:00+00:00,2025-08-28 16:55:00+00:00,316.03,314.42,318.89,-1.61,-0.5094,10,-56.29,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-29 08:55:00+00:00,2025-08-29 11:35:00+00:00,305.86,309.61,310.63,3.75,1.2261,32,78.62,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-08-29 18:30:00+00:00,2025-08-29 20:05:00+00:00,310.67,311.9,313.93,1.23,0.3959,19,37.73,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-09-01 04:10:00+00:00,2025-09-01 05:05:00+00:00,312.38,308.92,313.36,-3.46,-1.1076,11,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-09-01 23:00:00+00:00,2025-09-02 00:05:00+00:00,303.23,304.81,305.41,1.58,0.5211,13,72.48,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-09-12 03:15:00+00:00,2025-09-12 04:05:00+00:00,309.75,308.83,310.24,-0.92,-0.297,10,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-09-15 11:25:00+00:00,2025-09-15 13:05:00+00:00,299.38,298.04,300.39,-1.34,-0.4476,20,0.0,True,True,True,bearish_vol_divergence
AAVE/USDT,2025-09-22 04:35:00+00:00,2025-09-22 05:25:00+00:00,283.76,283.66,284.44,-0.1,-0.0352,10,0.0,True,True,True,bearish_vol_divergence
